model,channel,hand,horizon_step,metric,value,n_frames,config_hash
persistence,CoPy_L,L,4,MAE,0.031729637396165654,46647,8afc249f260894fd
persistence,CoPy_L,L,4,SS_vs_persistence,5.271265646200618e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,4,SS_vs_seasonal,5.271265646200618e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,4,SS_vs_ar,-0.13234556898906447,46647,8afc249f260894fd
persistence,CoPy_L,L,5,MSE,0.0021666139009145487,46647,8afc249f260894fd
persistence,CoPy_L,L,5,MAE,0.03388284493655055,46647,8afc249f260894fd
persistence,CoPy_L,L,5,SS_vs_persistence,4.6154968735834245e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,5,SS_vs_seasonal,4.6154968735834245e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,5,SS_vs_ar,-0.14045460393293085,46647,8afc249f260894fd
persistence,CoPy_L,L,6,MSE,0.002396115075515622,46647,8afc249f260894fd
persistence,CoPy_L,L,6,MAE,0.035588116911987565,46647,8afc249f260894fd
persistence,CoPy_L,L,6,SS_vs_persistence,4.1734227185230566e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,6,SS_vs_seasonal,4.1734227185230566e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,6,SS_vs_ar,-0.14826872227646493,46647,8afc249f260894fd
persistence,CoPy_L,L,7,MSE,0.0026096197386547794,46647,8afc249f260894fd
persistence,CoPy_L,L,7,MAE,0.0372658586321391,46647,8afc249f260894fd
persistence,CoPy_L,L,7,SS_vs_persistence,3.831975847745639e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,7,SS_vs_seasonal,3.831975847745639e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,7,SS_vs_ar,-0.15466731902790576,46647,8afc249f260894fd
persistence,CoPy_L,L,8,MSE,0.002824407331994412,46647,8afc249f260894fd
persistence,CoPy_L,L,8,MAE,0.038828363749805084,46647,8afc249f260894fd
persistence,CoPy_L,L,8,SS_vs_persistence,3.5405656184650525e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,8,SS_vs_seasonal,3.5405656184650525e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,8,SS_vs_ar,-0.1630503734713431,46647,8afc249f260894fd
persistence,CoPy_L,L,9,MSE,0.0030506825263427154,46647,8afc249f260894fd
persistence,CoPy_L,L,9,MAE,0.04061786880075727,46647,8afc249f260894fd
persistence,CoPy_L,L,9,SS_vs_persistence,3.2779545744432426e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,9,SS_vs_seasonal,3.2779545744432426e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,9,SS_vs_ar,-0.17440230228428422,46647,8afc249f260894fd
persistence,CoPy_L,L,10,MSE,0.003273613462313851,46647,8afc249f260894fd
persistence,CoPy_L,L,10,MAE,0.04227844129143635,46647,8afc249f260894fd
persistence,CoPy_L,L,10,SS_vs_persistence,3.05472869222001e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,10,SS_vs_seasonal,3.05472869222001e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,10,SS_vs_ar,-0.18376951167706523,46647,8afc249f260894fd
persistence,CoPy_L,L,all,MSE,0.0021117753364008336,46647,8afc249f260894fd
persistence,CoPy_L,L,all,MAE,0.03249713189381542,46647,8afc249f260894fd
persistence,CoPy_L,L,all,SS_vs_persistence,4.735352110429858e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,all,SS_vs_seasonal,4.735352110429858e-10,46647,8afc249f260894fd
persistence,CoPy_L,L,all,SS_vs_ar,-0.1592779903974857,46647,8afc249f260894fd
persistence,F_R,R,1,MSE,134481.40078648983,49670,8afc249f260894fd
persistence,F_R,R,1,MAE,249.53170859312084,49670,8afc249f260894fd
persistence,F_R,R,1,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,1,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,1,SS_vs_ar,-0.7011976511555782,49670,8afc249f260894fd
persistence,F_R,R,2,MSE,421672.8128339646,49670,8afc249f260894fd
persistence,F_R,R,2,MAE,447.8859389696607,49670,8afc249f260894fd
persistence,F_R,R,2,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,2,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,2,SS_vs_ar,-0.34894256155152736,49670,8afc249f260894fd
persistence,F_R,R,3,MSE,739686.2740587188,49670,8afc249f260894fd
persistence,F_R,R,3,MAE,594.6099513380105,49670,8afc249f260894fd
persistence,F_R,R,3,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,3,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,3,SS_vs_ar,-0.2632846180385753,49670,8afc249f260894fd
persistence,F_R,R,4,MSE,1035393.8517224236,49670,8afc249f260894fd
persistence,F_R,R,4,MAE,708.225648238334,49670,8afc249f260894fd
persistence,F_R,R,4,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,4,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,4,SS_vs_ar,-0.23510933285325963,49670,8afc249f260894fd
persistence,F_R,R,5,MSE,1280167.6449184655,49670,8afc249f260894fd
persistence,F_R,R,5,MAE,794.1340437217668,49670,8afc249f260894fd
persistence,F_R,R,5,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,5,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,5,SS_vs_ar,-0.23207054833897556,49670,8afc249f260894fd
persistence,F_R,R,6,MSE,1466689.5613687113,49670,8afc249f260894fd
persistence,F_R,R,6,MAE,855.787887828221,49670,8afc249f260894fd
persistence,F_R,R,6,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,6,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,6,SS_vs_ar,-0.2373996031608172,49670,8afc249f260894fd
persistence,F_R,R,7,MSE,1600146.8907736503,49670,8afc249f260894fd
persistence,F_R,R,7,MAE,900.6180165434643,49670,8afc249f260894fd
persistence,F_R,R,7,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,7,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,7,SS_vs_ar,-0.24103557360686456,49670,8afc249f260894fd
persistence,F_R,R,8,MSE,1691052.0816357995,49670,8afc249f260894fd
persistence,F_R,R,8,MAE,928.9166425532538,49670,8afc249f260894fd
persistence,F_R,R,8,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,8,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,8,SS_vs_ar,-0.24159803779227285,49670,8afc249f260894fd
persistence,F_R,R,9,MSE,1755494.6106261883,49670,8afc249f260894fd
persistence,F_R,R,9,MAE,951.8872143918417,49670,8afc249f260894fd
persistence,F_R,R,9,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,9,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,9,SS_vs_ar,-0.24364029424614708,49670,8afc249f260894fd
persistence,F_R,R,10,MSE,1812054.2220154128,49670,8afc249f260894fd
persistence,F_R,R,10,MAE,974.4145336393045,49670,8afc249f260894fd
persistence,F_R,R,10,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,10,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,10,SS_vs_ar,-0.24874229433324269,49670,8afc249f260894fd
persistence,F_R,R,all,MSE,1193683.9350740744,49670,8afc249f260894fd
persistence,F_R,R,all,MAE,740.6011585816977,49670,8afc249f260894fd
persistence,F_R,R,all,SS_vs_persistence,0.0,49670,8afc249f260894fd
persistence,F_R,R,all,SS_vs_seasonal,0.0,49670,8afc249f260894fd
persistence,F_R,R,all,SS_vs_ar,-0.2494267717042502,49670,8afc249f260894fd
persistence,CoPx_R,R,1,MSE,0.0006250305396232098,47205,8afc249f260894fd
persistence,CoPx_R,R,1,MAE,0.01659062545351705,47205,8afc249f260894fd
persistence,CoPx_R,R,1,SS_vs_persistence,1.5999218616613575e-09,47205,8afc249f260894fd
persistence,CoPx_R,R,1,SS_vs_seasonal,1.5999218616613575e-09,47205,8afc249f260894fd
persistence,CoPx_R,R,1,SS_vs_ar,-0.39417179726031604,47205,8afc249f260894fd
persistence,CoPx_R,R,2,MSE,0.0016435486620842489,47205,8afc249f260894fd
persistence,CoPx_R,R,2,MAE,0.027702399530859147,47205,8afc249f260894fd
persistence,CoPx_R,R,2,SS_vs_persistence,6.084395209882132e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,2,SS_vs_seasonal,6.084395209882132e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,2,SS_vs_ar,-0.21258600195384147,47205,8afc249f260894fd
persistence,CoPx_R,R,3,MSE,0.0023741299629488465,47205,8afc249f260894fd
persistence,CoPx_R,R,3,MAE,0.03397712113708226,47205,8afc249f260894fd
persistence,CoPx_R,R,3,SS_vs_persistence,4.2120695820102583e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,3,SS_vs_seasonal,4.2120695820102583e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,3,SS_vs_ar,-0.254818993830783,47205,8afc249f260894fd
persistence,CoPx_R,R,4,MSE,0.0028777955131823957,47205,8afc249f260894fd
persistence,CoPx_R,R,4,MAE,0.03767730861221698,47205,8afc249f260894fd
persistence,CoPx_R,R,4,SS_vs_persistence,3.4748814936591543e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,4,SS_vs_seasonal,3.4748814936591543e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,4,SS_vs_ar,-0.30374289291395384,47205,8afc249f260894fd
persistence,CoPx_R,R,5,MSE,0.003177431758823977,47205,8afc249f260894fd
persistence,CoPx_R,R,5,MAE,0.0394808969615048,47205,8afc249f260894fd
persistence,CoPx_R,R,5,SS_vs_persistence,3.1471958372719655e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,5,SS_vs_seasonal,3.1471958372719655e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,5,SS_vs_ar,-0.32508043283332855,47205,8afc249f260894fd
persistence,CoPx_R,R,6,MSE,0.003326497667794708,47205,8afc249f260894fd
persistence,CoPx_R,R,6,MAE,0.040415815605760935,47205,8afc249f260894fd
persistence,CoPx_R,R,6,SS_vs_persistence,3.006164206453832e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,6,SS_vs_seasonal,3.006164206453832e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,6,SS_vs_ar,-0.3326260646798045,47205,8afc249f260894fd
persistence,CoPx_R,R,7,MSE,0.0034750236890919287,47205,8afc249f260894fd
persistence,CoPx_R,R,7,MAE,0.04152012335219933,47205,8afc249f260894fd
persistence,CoPx_R,R,7,SS_vs_persistence,2.8776780958139625e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,7,SS_vs_seasonal,2.8776780958139625e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,7,SS_vs_ar,-0.34908704930806356,47205,8afc249f260894fd
persistence,CoPx_R,R,8,MSE,0.0036561838314364773,47205,8afc249f260894fd
persistence,CoPx_R,R,8,MAE,0.0428300861769671,47205,8afc249f260894fd
persistence,CoPx_R,R,8,SS_vs_persistence,2.7350921527613536e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,8,SS_vs_seasonal,2.7350921527613536e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,8,SS_vs_ar,-0.37733664219243845,47205,8afc249f260894fd
persistence,CoPx_R,R,9,MSE,0.003809590889860516,47205,8afc249f260894fd
persistence,CoPx_R,R,9,MAE,0.04367859446048729,47205,8afc249f260894fd
persistence,CoPx_R,R,9,SS_vs_persistence,2.6249535878264396e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,9,SS_vs_seasonal,2.6249535878264396e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,9,SS_vs_ar,-0.3969562073783319,47205,8afc249f260894fd
persistence,CoPx_R,R,10,MSE,0.00392663519752163,47205,8afc249f260894fd
persistence,CoPx_R,R,10,MAE,0.04419035126559547,47205,8afc249f260894fd
persistence,CoPx_R,R,10,SS_vs_persistence,2.5467106201659817e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,10,SS_vs_seasonal,2.5467106201659817e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,10,SS_vs_ar,-0.4081199761203014,47205,8afc249f260894fd
persistence,CoPx_R,R,all,MSE,0.0028864808470914953,47205,8afc249f260894fd
persistence,CoPx_R,R,all,MAE,0.03678516392551839,47205,8afc249f260894fd
persistence,CoPx_R,R,all,SS_vs_persistence,3.464426523436259e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,all,SS_vs_seasonal,3.464426523436259e-10,47205,8afc249f260894fd
persistence,CoPx_R,R,all,SS_vs_ar,-0.34098488039093167,47205,8afc249f260894fd
persistence,CoPy_R,R,1,MSE,0.00048591566212033275,47205,8afc249f260894fd
persistence,CoPy_R,R,1,MAE,0.014806423045744713,47205,8afc249f260894fd
persistence,CoPy_R,R,1,SS_vs_persistence,2.0579702386669396e-09,47205,8afc249f260894fd
persistence,CoPy_R,R,1,SS_vs_seasonal,2.0579702386669396e-09,47205,8afc249f260894fd
persistence,CoPy_R,R,1,SS_vs_ar,-0.4044496900774379,47205,8afc249f260894fd
persistence,CoPy_R,R,2,MSE,0.0013083750426057335,47205,8afc249f260894fd
persistence,CoPy_R,R,2,MAE,0.024888102973925165,47205,8afc249f260894fd
persistence,CoPy_R,R,2,SS_vs_persistence,7.643068400398079e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,2,SS_vs_seasonal,7.643068400398079e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,2,SS_vs_ar,-0.20090571171176985,47205,8afc249f260894fd
persistence,CoPy_R,R,3,MSE,0.001963561848057513,47205,8afc249f260894fd
persistence,CoPy_R,R,3,MAE,0.030710846823951133,47205,8afc249f260894fd
persistence,CoPy_R,R,3,SS_vs_persistence,5.092786192761878e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,3,SS_vs_seasonal,5.092786192761878e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,3,SS_vs_ar,-0.20706426513572418,47205,8afc249f260894fd
persistence,CoPy_R,R,4,MSE,0.0024150214722397445,47205,8afc249f260894fd
persistence,CoPy_R,R,4,MAE,0.034455167702771364,47205,8afc249f260894fd
persistence,CoPy_R,R,4,SS_vs_persistence,4.140749965131363e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,4,SS_vs_seasonal,4.140749965131363e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,4,SS_vs_ar,-0.22732320581220433,47205,8afc249f260894fd
persistence,CoPy_R,R,5,MSE,0.00270389653053,47205,8afc249f260894fd
persistence,CoPy_R,R,5,MAE,0.036730771045929776,47205,8afc249f260894fd
persistence,CoPy_R,R,5,SS_vs_persistence,3.6983660578471245e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,5,SS_vs_seasonal,3.6983660578471245e-10,47205,8afc249f260894fd
persistence,CoPy_R,R,5,SS_vs_ar,-0.23103560537220313,47205,8afc249f260894fd
persistence,CoPy_R,R,6,MSE,0.002870011760467195,47205,8afc249f260894fd
persistence,CoPy_R,R,6,MAE,0.03814369249634592,47205,8afc249f260894fd
