input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
highpass,left,10.0,0.5,0.2552,0.2073,0.2106,0.2244,0.784,0.950
highpass,left,10.0,0.6,0.3345,0.2707,0.2720,0.2924,0.784,0.950
highpass,left,10.0,0.7,0.4041,0.3288,0.3378,0.3569,0.784,0.950
highpass,left,10.0,0.8,0.4619,0.3770,0.3947,0.4112,0.784,0.950
highpass,left,10.0,0.9,0.4947,0.4049,0.4332,0.4443,0.784,0.950
highpass,left,10.0,1.0,0.5094,0.4150,0.4586,0.4610,0.784,0.950
highpass,right,1.0,0.1,0.2307,0.2086,0.2383,0.2259,0.835,0.948
highpass,right,1.0,0.2,0.2808,0.2891,0.3147,0.2949,0.835,0.948
highpass,right,1.0,0.3,0.3158,0.3747,0.3640,0.3515,0.835,0.948
highpass,right,1.0,0.4,0.3569,0.4438,0.3850,0.3952,0.835,0.948
highpass,right,1.0,0.5,0.3989,0.5050,0.4056,0.4365,0.835,0.948
highpass,right,1.0,0.6,0.4326,0.5411,0.4212,0.4650,0.835,0.948
highpass,right,1.0,0.7,0.4614,0.5606,0.4337,0.4852,0.835,0.948
highpass,right,1.0,0.8,0.4785,0.5572,0.4380,0.4912,0.835,0.948
highpass,right,1.0,0.9,0.4896,0.5460,0.4473,0.4943,0.835,0.948
highpass,right,1.0,1.0,0.4924,0.5281,0.4567,0.4924,0.835,0.948
highpass,right,2.0,0.1,0.2112,0.1591,0.2120,0.1941,0.811,0.948
highpass,right,2.0,0.2,0.2585,0.2663,0.3078,0.2775,0.811,0.948
highpass,right,2.0,0.3,0.2780,0.3616,0.3622,0.3339,0.811,0.948
highpass,right,2.0,0.4,0.2989,0.4319,0.3846,0.3718,0.811,0.948
highpass,right,2.0,0.5,0.3376,0.4891,0.3995,0.4087,0.811,0.948
highpass,right,2.0,0.6,0.3750,0.5212,0.4041,0.4335,0.811,0.948
highpass,right,2.0,0.7,0.4090,0.5385,0.4096,0.4524,0.811,0.948
highpass,right,2.0,0.8,0.4318,0.5410,0.4215,0.4648,0.811,0.948
highpass,right,2.0,0.9,0.4465,0.5306,0.4332,0.4701,0.811,0.948
highpass,right,2.0,1.0,0.4521,0.5183,0.4455,0.4720,0.811,0.948
