input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage
highpass,right,2.0,0.3,0.3163,0.3882,0.3701,0.3582,0.829
highpass,right,2.0,0.4,0.3395,0.4568,0.4024,0.3996,0.829
highpass,right,2.0,0.5,0.3725,0.5113,0.4199,0.4346,0.829
highpass,right,2.0,0.6,0.4043,0.5359,0.4199,0.4533,0.829
highpass,right,2.0,0.7,0.4345,0.5513,0.4198,0.4685,0.829
highpass,right,2.0,0.8,0.4547,0.5548,0.4273,0.4789,0.829
highpass,right,2.0,0.9,0.4693,0.5456,0.4379,0.4843,0.829
highpass,right,2.0,1.0,0.4763,0.5276,0.4496,0.4845,0.829
highpass,right,3.0,0.1,0.2097,0.1614,0.2319,0.2010,0.819
highpass,right,3.0,0.2,0.2530,0.2662,0.3209,0.2800,0.819
highpass,right,3.0,0.3,0.2724,0.3585,0.3680,0.3330,0.819
highpass,right,3.0,0.4,0.2981,0.4315,0.3851,0.3716,0.819
highpass,right,3.0,0.5,0.3393,0.4961,0.4001,0.4118,0.819
highpass,right,3.0,0.6,0.3751,0.5378,0.4097,0.4409,0.819
highpass,right,3.0,0.7,0.4089,0.5604,0.4164,0.4619,0.819
highpass,right,3.0,0.8,0.4328,0.5675,0.4293,0.4765,0.819
highpass,right,3.0,0.9,0.4528,0.5568,0.4378,0.4825,0.819
highpass,right,3.0,1.0,0.4629,0.5376,0.4465,0.4824,0.819
highpass,right,5.0,0.1,0.2046,0.1531,0.2218,0.1932,0.808
highpass,right,5.0,0.2,0.2220,0.2593,0.2976,0.2596,0.808
highpass,right,5.0,0.3,0.2197,0.3526,0.3410,0.3044,0.808
highpass,right,5.0,0.4,0.2370,0.4292,0.3471,0.3378,0.808
highpass,right,5.0,0.5,0.2743,0.4927,0.3595,0.3755,0.808
highpass,right,5.0,0.6,0.3169,0.5312,0.3678,0.4053,0.808
highpass,right,5.0,0.7,0.3622,0.5507,0.3846,0.4325,0.808
highpass,right,5.0,0.8,0.3931,0.5539,0.4064,0.4511,0.808
highpass,right,5.0,0.9,0.4142,0.5476,0.4243,0.4620,0.808
highpass,right,5.0,1.0,0.4215,0.5356,0.4376,0.4649,0.808
highpass,right,10.0,0.1,0.1614,0.1664,0.2096,0.1791,0.787
highpass,right,10.0,0.2,0.1492,0.2489,0.2917,0.2299,0.787
highpass,right,10.0,0.3,0.1186,0.3300,0.3123,0.2536,0.787
highpass,right,10.0,0.4,0.1311,0.3938,0.2954,0.2734,0.787
highpass,right,10.0,0.5,0.1823,0.4528,0.2970,0.3107,0.787
highpass,right,10.0,0.6,0.2483,0.4878,0.3098,0.3486,0.787
highpass,right,10.0,0.7,0.3162,0.5030,0.3351,0.3848,0.787
highpass,right,10.0,0.8,0.3663,0.5100,0.3706,0.4156,0.787
highpass,right,10.0,0.9,0.4014,0.5030,0.4068,0.4371,0.787
highpass,right,10.0,1.0,0.4206,0.4909,0.4383,0.4499,0.787
