input_mode,hand,history_s,forecast_step_s,F_skill,x_skill,y_skill,mean_skill,coverage_raw,coverage_cal
highpass,left,5.0,0.4,0.4784,0.4330,0.4246,0.4453,0.946,0.946
highpass,left,5.0,0.5,0.5255,0.4870,0.4728,0.4951,0.946,0.946
highpass,left,5.0,0.6,0.5640,0.5263,0.5113,0.5339,0.946,0.946
highpass,left,5.0,0.7,0.5866,0.5527,0.5415,0.5603,0.946,0.946
highpass,left,5.0,0.8,0.6063,0.5703,0.5643,0.5803,0.946,0.946
highpass,left,5.0,0.9,0.6147,0.5804,0.5790,0.5913,0.946,0.946
highpass,left,5.0,1.0,0.6203,0.5816,0.5878,0.5966,0.946,0.946
highpass,left,10.0,0.1,-0.0024,0.2153,0.3047,0.1725,0.943,0.945
highpass,left,10.0,0.2,0.2937,0.2725,0.3049,0.2904,0.943,0.945
highpass,left,10.0,0.3,0.4056,0.3564,0.3684,0.3768,0.943,0.945
highpass,left,10.0,0.4,0.4654,0.4216,0.4255,0.4375,0.943,0.945
highpass,left,10.0,0.5,0.5121,0.4770,0.4736,0.4876,0.943,0.945
highpass,left,10.0,0.6,0.5515,0.5148,0.5096,0.5253,0.943,0.945
highpass,left,10.0,0.7,0.5741,0.5413,0.5373,0.5509,0.943,0.945
highpass,left,10.0,0.8,0.5934,0.5584,0.5591,0.5703,0.943,0.945
highpass,left,10.0,0.9,0.6015,0.5685,0.5730,0.5810,0.943,0.945
highpass,left,10.0,1.0,0.6068,0.5712,0.5822,0.5867,0.943,0.945
highpass,right,1.0,0.1,0.4223,0.2957,0.3676,0.3618,0.940,0.948
highpass,right,1.0,0.2,0.4054,0.3407,0.3920,0.3794,0.940,0.948
highpass,right,1.0,0.3,0.4357,0.4354,0.4473,0.4395,0.940,0.948
highpass,right,1.0,0.4,0.4763,0.5083,0.4859,0.4901,0.940,0.948
highpass,right,1.0,0.5,0.5222,0.5657,0.5194,0.5358,0.940,0.948
highpass,right,1.0,0.6,0.5588,0.5941,0.5381,0.5637,0.940,0.948
highpass,right,1.0,0.7,0.5892,0.6093,0.5508,0.5831,0.940,0.948
highpass,right,1.0,0.8,0.6062,0.6083,0.5590,0.5912,0.940,0.948
highpass,right,1.0,0.9,0.6161,0.6013,0.5657,0.5944,0.940,0.948
highpass,right,1.0,1.0,0.6175,0.5890,0.5724,0.5930,0.940,0.948
highpass,right,2.0,0.1,0.4275,0.2853,0.3527,0.3552,0.939,0.945
highpass,right,2.0,0.2,0.4047,0.3513,0.3943,0.3834,0.939,0.945
highpass,right,2.0,0.3,0.4330,0.4492,0.4536,0.4453,0.939,0.945
highpass,right,2.0,0.4,0.4739,0.5222,0.4917,0.4959,0.939,0.945
highpass,right,2.0,0.5,0.5198,0.5758,0.5237,0.5398,0.939,0.945
highpass,right,2.0,0.6,0.5565,0.6037,0.5411,0.5671,0.939,0.945
highpass,right,2.0,0.7,0.5863,0.6149,0.5517,0.5843,0.939,0.945
