model,channel,horizon_step,metric,value,n_frames,config_hash,exploratory,split,fold
persistence,F_R,18,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,18,SS_vs_ar,-0.2002176398746942,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,MSE,230588942.3279197,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,MAE,10061.878420573312,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,19,SS_vs_ar,-0.20728217280564665,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,MSE,239965614.44028363,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,MAE,10309.256797779608,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,20,SS_vs_ar,-0.21448672294156435,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,MSE,248538512.10811397,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,MAE,10537.584413894792,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,21,SS_vs_ar,-0.22205004091808322,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,MSE,256605728.29955766,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,MAE,10758.093434233922,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,22,SS_vs_ar,-0.22921391579284212,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,MSE,264311791.58868554,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,MAE,10965.705125981178,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,23,SS_vs_ar,-0.2368338039651503,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,MSE,271815720.72227764,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,MAE,11166.042326206687,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,24,SS_vs_ar,-0.24472870050566353,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,MSE,279102351.04586065,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,MAE,11352.543800685198,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_persistence,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_seasonal,0.0,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
persistence,F_R,25,SS_vs_ar,-0.2530822936414405,1383540,916820c096c7666a,True,location-k4-fold0-seed0,0
