fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash
0,S01,persistence,CoPy_L,left,3,SS_vs_ar,-0.2670742890993192,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,3,SS_vs_probgru,-0.15836239739748836,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,MSE,3.456724620590617e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,MAE,0.003587026487057464,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,SS_vs_persistence,2.8929118878195936e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,SS_vs_seasonal,2.8929118878195936e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,SS_vs_ar,-0.2868443790423516,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,4,SS_vs_probgru,-0.10958740986384519,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,MSE,3.7588767365111605e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,MAE,0.0038260384487158925,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,SS_vs_persistence,2.6603691694049303e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,SS_vs_seasonal,2.6603691694049303e-08,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,SS_vs_ar,-0.32188817070438813,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,5,SS_vs_probgru,-0.10801008058717021,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,6,MSE,3.748096417451485e-05,15430,2ec2ba37fa8cbb0b
0,S01,persistence,CoPy_L,left,6,MAE,0.003913219015850832,15430,2ec2ba37fa8cbb0b
