fold,held_out,model,channel,hand,horizon_step,metric,value,n_frames,config_hash,arm
0,S01,seasonal,CoPx_R,right,all,HD_ratio_vs_persistence,1.0147015015992271,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,SS_vs_seasonal,4.1340072365336766e-08,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,HD_ratio_vs_seasonal,1.0,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,SS_vs_ar,-0.2745235286557164,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,HD_ratio_vs_ar,1.204560256170888,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,SS_vs_probgru,0.0339222740723496,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPx_R,right,all,HD_ratio_vs_probgru,0.9569344665775578,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,MSE,2.191706671062455e-05,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,MAE,0.0033300048186089,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,Hausdorff,2.903268407516451,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,SS_vs_persistence,-0.0128381375805723,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,HD_ratio_vs_persistence,1.0072123251338023,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,SS_vs_seasonal,4.5626541544940835e-08,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,HD_ratio_vs_seasonal,1.0,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,SS_vs_ar,0.3640511148331219,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,HD_ratio_vs_ar,0.8786303486496685,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,SS_vs_probgru,0.5054086619963436,22076,2ec2ba37fa8cbb0b,none
0,S01,seasonal,CoPy_R,right,all,HD_ratio_vs_probgru,0.7050146352630386,22076,2ec2ba37fa8cbb0b,none
