label,action,n_clips,model,r2,skill,skill_pooled,hausdorff,hausdorff_ratio,r2_F_R,skill_F_R,skill_pooled_F_R,hausdorff_F_R,r2_CoPx_R,skill_CoPx_R,skill_pooled_CoPx_R,hausdorff_CoPx_R,r2_CoPy_R,skill_CoPy_R,skill_pooled_CoPy_R,hausdorff_CoPy_R
OpenTouch train_only_v1 3s six arms,adjusting,83,s2sflat_ar,0.47969494491291015,0.2710235942170431,,2.7687484697949443,0.8648256106445498,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,adjusting,83,s2sflat_flatten,0.3997182766923757,0.24822250954753355,,2.913615936436769,0.9100753314725035,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,adjusting,83,s2sflat_persistence,0.07937696081035957,0.0,,3.2015107273839996,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,adjusting,83,s2sflat_seasonal,0.04457421780920615,-0.062432624193797547,,2.075619193549414,0.6483249222923679,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,adjusting,83,persistence,0.07937696081035957,0.0,,3.2015107273839996,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgagg_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgagg_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgagg_prob_gru,0.3513885151883847,0.2697547561135594,,2.517304028563391,0.8587278480164319,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgagg_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgcnn_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgcnn_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgcnn_pg_cnn,0.3787030245977214,0.38680585397152245,,2.4657302749584495,0.8411344949908238,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgcnn_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgflat_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgflat_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgflat_pg_flatten,0.36588086607971676,0.3440896947509359,,2.472835773064269,0.843558393347264,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,pgflat_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sagg_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sagg_map_aggregate,0.2932241561265571,0.28301978959986795,,2.292294299084929,0.7819702857254479,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sagg_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sagg_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2scnn_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2scnn_cnn,0.27164997450864053,0.20680978022707022,,2.4555049394575406,0.8376463265970551,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2scnn_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2scnn_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sflat_ar,0.3614487682328848,0.38599165377516126,,2.649231314053427,0.9037321989720698,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sflat_flatten,0.043667118738665765,0.1123140689408747,,2.1971856943514654,0.7495258902357135,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sflat_persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,s2sflat_seasonal,-0.15677557262963734,-0.20291070380584578,,1.3304152335543316,0.45384450885354,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,aligning,3,persistence,-0.28220762797615845,0.0,,2.931434021125657,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgagg_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgagg_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgagg_prob_gru,0.38459210190588483,0.3552575986629279,,2.3481650113065182,0.8041344485292795,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgagg_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgcnn_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgcnn_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgcnn_pg_cnn,0.39469145073369366,0.35866062980651586,,2.448841234160749,0.8386112500126016,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgcnn_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgflat_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgflat_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgflat_pg_flatten,0.41515655347110797,0.3698422988260333,,2.2786749342283397,0.7803374135932948,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,pgflat_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sagg_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sagg_map_aggregate,0.41677932405893303,0.40491567431940173,,2.2103175996579107,0.7569282889052734,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sagg_persistence,-0.0637663633550779,0.0,,2.920114933020456,1.0,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2sagg_seasonal,-0.09088580003421069,0.009990829416550126,,1.2830407188266966,0.439380212168419,,,,,,,,,,,,
OpenTouch train_only_v1 3s six arms,attaching,4,s2scnn_ar,0.44321384498529137,0.43294327814059147,,2.3396047668334976,0.8012029733410182,,,,,,,,,,,,
